,city-cn,lat,lng
427,Remich-Luxembourg,49.545,6.3669
428,Echternach-Luxembourg,49.8056,6.4222
429,Mersch-Luxembourg,49.7489,6.1061
430,Redange-sur-Attert-Luxembourg,49.7656,5.8908
431,Vianden-Luxembourg,49.935,6.2089
432,Wiltz-Luxembourg,49.9689,5.9319
433,Clervaux-Luxembourg,50.0547,6.0314
434,Diekirch-Luxembourg,49.8833,6.1667
435,Grevenmacher-Luxembourg,49.7,6.3333
436,Luxembourg-Luxembourg,49.6117,6.13
437,Auce-Latvia,56.4611,22.9028
438,Daugavpils-Latvia,55.88,26.51
439,Jekabpils-Latvia,56.4833,25.85
440,Salacgriva-Latvia,57.7531,24.359
441,Ventspils-Latvia,57.3899,21.5606
442,Dundaga-Latvia,57.505,22.3504
443,Jaunjelgava-Latvia,56.6132,25.0832
444,Nereta-Latvia,56.2044,25.3077
445,Alsunga-Latvia,56.9801,21.564
446,Kuldiga-Latvia,56.969,21.968
447,Pavilosta-Latvia,56.8898,21.1817
448,Pinki-Latvia,56.9419,23.9137
449,Adazi-Latvia,57.0705,24.3371
450,Kandava-Latvia,57.0389,22.7724
451,Roja-Latvia,57.5015,22.8088
452,Carnikava-Latvia,57.1293,24.2842
453,Garkalne-Latvia,57.0449,24.4195
454,Saulkrasti-Latvia,57.2599,24.4189
455,Smarde-Latvia,56.9533,23.3387
456,Mersrags-Latvia,57.3364,23.1235
457,Talsi-Latvia,57.2465,22.5876
458,Jurmala-Latvia,56.9567,23.7233
459,Marupe-Latvia,56.9032,24.0467
460,Ulbroka-Latvia,56.9363,24.3039
461,Zilupe-Latvia,56.386,28.1218
462,Ludza-Latvia,56.5396,27.7189
463,Dagda-Latvia,56.0961,27.5328
464,Baltinava-Latvia,56.9439,27.644
465,Cibla-Latvia,56.5498,27.8837
466,Karsava-Latvia,56.7874,27.6732
467,Riga-Latvia,56.95,24.1
468,Kraslava-Latvia,55.8969,27.172
469,Limbazi-Latvia,57.513,24.724
470,Preili-Latvia,56.294,26.7248
471,Vecvarkava-Latvia,56.1984,26.5081
472,Ilukste-Latvia,55.9779,26.2978
473,Nica-Latvia,56.3456,21.0646
474,Bauska-Latvia,56.4079,24.1944
475,Vilaka-Latvia,57.1843,27.6719
476,Livani-Latvia,56.3567,26.1761
477,Aluksne-Latvia,57.4216,27.0466
478,Jaunpils-Latvia,56.7314,23.0125
479,Broceni-Latvia,56.6789,22.5694
480,Rugaji-Latvia,57.0033,27.1337
481,Riebini-Latvia,56.3403,26.7999
482,Vilani-Latvia,56.5505,26.9298
483,Varaklani-Latvia,56.6091,26.7547
484,Ape-Latvia,57.5394,26.694
485,Madona-Latvia,56.851,26.2184
486,Jaunpiebalga-Latvia,57.1775,26.0284
487,Lubana-Latvia,56.9043,26.7161
488,Gulbene-Latvia,57.1734,26.7527
489,Balvi-Latvia,57.1287,27.27
490,Akniste-Latvia,56.1615,25.7482
491,Viesite-Latvia,56.3465,25.5581
492,Cesvaine-Latvia,56.9675,26.3076
493,Kegums-Latvia,56.7455,24.725
494,Vecpiebalga-Latvia,57.0618,25.8179
495,Smiltene-Latvia,57.4242,25.9017
496,Drabesi-Latvia,57.2433,25.2803
497,Cesis-Latvia,57.3091,25.2761
498,Ergli-Latvia,56.8988,25.6429
499,Valka-Latvia,57.7767,26.0118
500,Grobina-Latvia,56.5358,21.1747
501,Strenci-Latvia,57.6269,25.6919
502,Murmuiza-Latvia,57.4731,25.4917
503,Mazsalaca-Latvia,57.8619,25.0547
504,Aloja-Latvia,57.7672,24.8774
505,Burtnieki-Latvia,57.6949,25.275
506,Koknese-Latvia,56.6516,25.4364
507,Aizkraukle-Latvia,56.6029,25.2636
508,Skriveri-Latvia,56.6485,25.1195
509,Baldone-Latvia,56.7445,24.4008
510,Vecumnieki-Latvia,56.6061,24.5223
511,Sala-Latvia,56.5047,25.7618
512,Plavinas-Latvia,56.6177,25.7194
513,Liepaga-Latvia,56.51,21.01
514,Rujiena-Latvia,57.8961,25.3342
515,Naukseni-Latvia,57.8842,25.458
516,Liegi-Latvia,56.5797,21.3338
517,Rauna-Latvia,57.3337,25.6085
518,Aizpute-Latvia,56.7211,21.6016
519,Koceni-Latvia,57.5198,25.3404
520,Valmiera-Latvia,57.5387,25.4257
521,Sigulda-Latvia,57.1538,24.8595
522,Priekuli-Latvia,57.3115,25.3571
523,Ogre-Latvia,56.8113,24.6113
524,Ragana-Latvia,57.1821,24.7056
525,Loja-Latvia,57.1534,24.6433
526,Ropazi-Latvia,56.9747,24.6329
527,Priekule-Latvia,56.4458,21.5939
528,Iecava-Latvia,56.5977,24.2076
529,Rucava-Latvia,56.164,21.1627
530,Pilsrundale-Latvia,56.4181,24.0162
531,Salaspils-Latvia,56.861,24.3498
532,Ikskile-Latvia,56.834,24.4968
533,Lielvarde-Latvia,56.7213,24.8062
534,Incukalns-Latvia,57.0987,24.6863
535,Malpils-Latvia,57.0101,24.9578
536,Olaine-Latvia,56.7947,23.9358
