city score
Sarajevo-BosniaandHerzegovina 0.009830273540728823
Podgorica-Montenegro 0.009830253324394267
Tirana-Albania 0.00982382470679586
Pristina-Kosovo 0.009819425288348066
Skopje-Macedonia 0.009816606083009905
Zagreb-Croatia 0.009816473027494785
Belgrade-Serbia 0.00981279325471058
SanMarino-SanMarino 0.009811536396284286
Rome-Italy 0.009810779213955479
VaticanCity-VaticanCity 0.00981049731422247
Ljubljana-Slovenia 0.009809317538279967
Sofia-Bulgaria 0.009796788375024365
Budapest-Hungary 0.009783406033455188
Bratislava-Slovakia 0.009777598499077297
Vienna-Austria 0.009777142513511103
Athens-Greece 0.009759766810994181
Vaduz-Liechtenstein 0.00975402312642156
Monaco-Monaco 0.009748890604802439
Bucharest-Romania 0.009746902707559098
Valletta-Malta 0.009743898546039131
Bern-Switzerland 0.009729709484716244
Prague-CzechRepublic 0.009727487886428557
Tunis-Tunisia 0.009723304849610204
Tripoli-Libya 0.00966548523971215
Luxembourg-Luxembourg 0.009664695715749605
Chisinau-Moldova 0.009664644909219087
Berlin-Germany 0.00964827788332126
Warsaw-Poland 0.009642567375926617
AndorralaVella-Andorra 0.009630336122907297
Ankara-Turkey 0.009620567243135918
Paris-France 0.009612557620043378
Brussels-Belgium 0.009608936391253407
Algiers-Algeria 0.009602859482442067
Amsterdam-Netherlands 0.00957579239682086
NorthNicosia-NorthernCyprus 0.009572137470312386
Nicosia-Cyprus 0.009571915119941331
Kyiv-Ukraine 0.009560688369562642
Copenhagen-Denmark 0.009524747006380023
Vilnius-Lithuania 0.009513941108306499
London-UnitedKingdom 0.009511158299898391
Minsk-Belarus 0.009510950127999905
SaintHelier-Jersey 0.009510685195126259
Cairo-Egypt 0.009503813454854921
Beirut-Lebanon 0.009502475812421947
SaintPeterPort-Guernsey 0.009496283734653993
Madrid-Spain 0.0094867885553606
Damascus-Syria 0.009475497513177517
Jerusalem-Palestine 0.009468571473848546
Jerusalem-Israel 0.009468571473848546
Amman-Jordan 0.00945504895658197
Riga-Latvia 0.009436189642933036
Gibraltar-Gibraltar 0.009389557005414934
Stockholm-Sweden 0.00936268332153534
Douglas-IsleofMan 0.009349618621623696
Dublin-Ireland 0.00933118078479528
Oslo-Norway 0.009323456451071192
Tallinn-Estonia 0.009318687008697597
Mariehamn-AlandIslands 0.009318040310856085
Lisbon-Portugal 0.009315309184466145
Rabat-Morocco 0.00931031957379775
Yerevan-Armenia 0.009282743031145764
Helsinki-Finland 0.009281326320948293
Tbilisi-Georgia 0.00927305100061655
Moscow-Russia 0.009253899511943938
Baghdad-Iraq 0.0092178268915251
Baku-Azerbaijan 0.009092022682123897
Torshavn-FaroeIslands 0.009040623417181676
KuwaitCity-Kuwait 0.009010286052077215
Khartoum-Sudan 0.009008411368539788
Tehran-Iran 0.008992646724061604
NDjamena-Chad 0.008985624504662783
El-Aaiún-WesternSahara 0.008969703793359067
Riyadh-SaudiArabia 0.008932081795445631
Niamey-Niger 0.008903910045920357
Asmara-Eritrea 0.00886475170720655
Manama-Bahrain 0.008834003892136469
Abuja-Nigeria 0.008815310756302049
Ouagadougou-BurkinaFaso 0.008801351651929029
Doha-Qatar 0.008770603578993438
Ashgabat-Turkmenistan 0.008742947112120458
Sanaa-Yemen 0.008713224450839023
Reykjavik-Iceland 0.008706362092135182
Bangui-CentralAfricanRepublic 0.008692198697115813
Bamako-Mali 0.00867390508279952
Porto-Novo-Benin 0.008654340568217223
Yaounde-Cameroon 0.008651489757577315
Nouakchott-Mauritania 0.00864294545795137
AbuDhabi-UnitedArabEmirates 0.008634333796119189
AddisAbaba-Ethiopia 0.008633186039379629
Malabo-EquatorialGuinea 0.008624154995189983
Lome-Togo 0.008617335844259165
Djibouti-Djibouti 0.008609069708970239
Juba-SouthSudan 0.00860846503864626
Accra-Ghana 0.008569023303440964
Yamoussoukro-CotedIvoire 0.008517632568575875
Hargeisa-Somaliland 0.008503180509714103
Dakar-Senegal 0.008492771194794345
Libreville-Gabon 0.008488497021034798
Banjul-TheGambia 0.008481159228973936
SaoTome-SaoTomeandPrincipe 0.00845691995436804
Bissau-Guinea-Bissau 0.008453593661573305
Muscat-Oman 0.00843469376591433
Conakry-Guinea 0.008419720606191719
Kampala-Uganda 0.008404029151783822
Freetown-SierraLeone 0.008393510236219388
Monrovia-Liberia 0.008368953912275875
Longyearbyen-Svalbard 0.008352256961553785
Tashkent-Uzbekistan 0.008350436004564463
Kigali-Rwanda 0.008343407678099482
Dushanbe-Tajikistan 0.008335803847025815
Astana-Kazakhstan 0.008324036997732334
Praia-CapeVerde 0.008321408302606819
Brazzaville-RepublicofCongo 0.008317122484418467
Kinshasa-DemocraticRepublicoftheCongo 0.008314093222900863
Bujumbura-Burundi 0.008289239665156364
Kabul-Afghanistan 0.008252064310857702
Nairobi-Kenya 0.008251899058903736
Mogadishu-Somalia 0.008164589934324605
Bishkek-Kyrgyzstan 0.008160759449152174
Nuuk-Greenland 0.00810526123019554
Luanda-Angola 0.008095621826744904
Islamabad-Pakistan 0.008077386090268016
DaresSalaam-Tanzania 0.007957065141396071
Saint-Pierre-SaintPierreandMiquelon 0.007950275847960145
NewDelhi-India 0.00779262615414012
Lusaka-Zambia 0.007752722535574965
Lilongwe-Malawi 0.007747542910528229
Moroni-Comoros 0.007651709548789276
Harare-Zimbabwe 0.007613649649150944
Victoria-Seychelles 0.007568764122157974
Jamestown-SaintHelena 0.0075554153360389755
Hamilton-Bermuda 0.0075117288259608055
Windhoek-Namibia 0.0074697770943504965
Kathmandu-Nepal 0.007454386329341675
Ottawa-Canada 0.0073797274255990985
Gaborone-Botswana 0.007354119953389058
SaintJohns-AntiguaandBarbuda 0.007317616073771388
TheValley-Anguilla 0.007309945992039215
Gustavia-SaintBarthelemy 0.0073081555652522185
Philipsburg-SintMaarten 0.0073058634903992335
Marigot-SaintMartin 0.0073057317286400825
Basseterre-SaintKittsandNevis 0.007297453677199141
Plymouth-Montserrat 0.007296326406504319
Pretoria-SouthAfrica 0.007289774642259672
Thimphu-Bhutan 0.007287965190970633
Roseau-Dominica 0.007280909364254782
Bridgetown-Barbados 0.007265248129502615
RoadTown-BritishVirginIslands 0.007264764493965105
Castries-SaintLucia 0.0072547176913120865
CharlotteAmalie-USVirginIslands 0.007252775931708617
Antananarivo-Madagascar 0.0072491263892769
WashingtonD.C.-UnitedStates 0.007241616692441596
WashingtonD.C.-USMinorOutlyingIslands 0.007241616692441596
Mbabane-Swaziland 0.007234102832015079
Maputo-Mozambique 0.0072330235036947655
Kingstown-SaintVincentandtheGrenadines 0.007222481439129317
SanJuan-PuertoRico 0.007215830626642081
Male-Maldives 0.007212139811705832
Ulaanbaatar-Mongolia 0.007187345220219979
SaintGeorges-Grenada 0.007173095190574757
Dhaka-Bangladesh 0.007163467633864697
Paramaribo-Suriname 0.007150753746291875
PortofSpain-TrinidadandTobago 0.0071346776379500616
Maseru-Lesotho 0.007133387176975475
GrandTurk-TurksandCaicosIslands 0.00711258084608764
Georgetown-Guyana 0.007102306496322282
SantoDomingo-DominicanRepublic 0.00708681706730907
Colombo-SriLanka 0.0070616940915485355
Port-au-Prince-Haiti 0.007004640061148485
Nassau-Bahamas 0.006977900492803292
Caracas-Venezuela 0.00696362395148658
Willemstad-Curaçao 0.006946240746822629
PortLouis-Mauritius 0.006941310205700959
Oranjestad-Aruba 0.006920958312375017
Kingston-Jamaica 0.006838183961454407
Rangoon-Myanmar 0.006777480841564644
Havana-Cuba 0.006770031929623416
Beijing-China 0.006759472240770728
GeorgeTown-CaymanIslands 0.006715816703725446
Brasilia-Brazil 0.006661053544558426
Vientiane-Laos 0.006603543422718802
Hanoi-Vietnam 0.006584014783454801
Bangkok-Thailand 0.0065544673494282715
Bogota-Colombia 0.006551560230768453
Pyongyang-NorthKorea 0.006522051766534577
PanamaCity-Panama 0.006506830947359213
Seoul-SouthKorea 0.006458895615328736
Belmopan-Belize 0.0064286073565324635
Tegucigalpa-Honduras 0.006401565088917492
SanJose-CostaRica 0.006391011723896547
Managua-Nicaragua 0.006381658419463493
PhnomPenh-Cambodia 0.006363426750568073
SanSalvador-ElSalvador 0.006329750888548737
GuatemalaCity-Guatemala 0.006311052501355308
Quito-Ecuador 0.00628186436272065
Taipei-Taiwan 0.006268257282849489
KualaLumpur-Malaysia 0.006231806514662757
Asuncion-Paraguay 0.006184149481501775
Tokyo-Japan 0.006169789509499165
MexicoCity-Mexico 0.006165366479444193
LaPaz-Bolivia 0.006143474024029482
Singapore-Singapore 0.006122348081873488
Manila-Philippines 0.006031087606972963
Lima-Peru 0.0060188048617840825
Montevideo-Uruguay 0.005998946293868567
WestIsland-CocosIslands 0.005980775934358631
BuenosAires-Argentina 0.005956705468330409
BandarSeriBegawan-BruneiDarussalam 0.005934542738515867
KingEdwardPoint-SouthGeorgiaandSouthSandwichIslands 0.005873651609884365
Port-aux-Français-FrenchSouthernandAntarcticLands 0.005864306810717619
Jakarta-Indonesia 0.005860247562357712
TheSettlement-ChristmasIsland 0.005791681691112912
Santiago-Chile 0.00573981537007281
Stanley-FalklandIslands 0.0056547703548072824
Melekeok-Palau 0.005612828059819142
Saipan-NorthernMarianaIslands 0.0056013244437111585
Hagatna-Guam 0.005580388413712732
Dili-Timor-Leste 0.005440619620558908
Palikir-FederatedStatesofMicronesia 0.00527696213017936
Majuro-MarshallIslands 0.005144160248125033
PortMoresby-PapuaNewGuinea 0.005143726257345158
Yaren-Nauru 0.0050571767792216595
Tarawa-Kiribati 0.005027607666533728
Honiara-SolomonIslands 0.004996352035856681
Canberra-Australia 0.004879148194633519
Funafuti-Tuvalu 0.004848014737964814
Port-Vila-Vanuatu 0.00482525705093211
Atafu-Tokelau 0.004801725888957189
Adamstown-PitcairnIslands 0.004801438422556728
Noumea-NewCaledonia 0.004800606121716868
Apia-Samoa 0.004754727671480557
Mata-Utu-WallisandFutuna 0.004753908647777547
Suva-Fiji 0.004753850021800094
PagoPago-AmericanSamoa 0.004747121436927845
Kingston-NorfolkIsland 0.004738001407919926
Papeete-FrenchPolynesia 0.004721742200383243
Alofi-Niue 0.004699789630336976
Nukualofa-Tonga 0.0046979087426312705
Avarua-CookIslands 0.004667937751975872
Wellington-NewZealand 0.004634928589131628
